category,prompt
Analytical/Reasoning Style,My go-to method for making tough choices is...
Analytical/Reasoning Style,"When confronted with uncertainty, I tend to..."
Analytical/Reasoning Style,"When data contradicts my expectations, I..."
Analytical/Reasoning Style,I trust information more when it's...
Analytical/Reasoning Style,"Before forming a strong opinion, I..."
Analytical/Reasoning Style,I approach understanding complex systems by...
Analytical/Reasoning Style,My preferred method of organizing thoughts is...
Analytical/Reasoning Style,"When judging the validity of a claim, I consider..."
Analytical/Reasoning Style,The most reliable way to predict outcomes is...
Analytical/Reasoning Style,"When brainstorming for solutions, I prefer to..."
Analytical/Reasoning Style,"If something seems illogical, I..."
Analytical/Reasoning Style,My personal framework for ethical decision-making is…
Analytical/Reasoning Style,I am most likely to change my mind when presented with…
Analytical/Reasoning Style,"Before accepting new information as fact, I need..."
Analytical/Reasoning Style,The difference between correlation and causation is vital because…
Analytical/Reasoning Style,"When faced with multiple options, the first thing I do is…"
Analytical/Reasoning Style,I believe a good critical thinker should always…
Risk/Uncertainty Attitudes,"When considering a new opportunity, I weigh the potential gains against…"
Risk/Uncertainty Attitudes,My comfort level with unexpected changes is usually…
Risk/Uncertainty Attitudes,I approach long-term planning by…
Risk/Uncertainty Attitudes,"If a guaranteed small reward is pitted against a large, uncertain one, I tend to…"
Risk/Uncertainty Attitudes,My reaction to ambiguous situations is typically…
Risk/Uncertainty Attitudes,"When faced with a tough decision involving risk, I value…"
Risk/Uncertainty Attitudes,I feel most comfortable when my future plans are…
Risk/Uncertainty Attitudes,"Compared to my peers, my approach to trying new things is…"
Risk/Uncertainty Attitudes,"When I envision the future, I prepare for…"
Risk/Uncertainty Attitudes,"If faced with an uncertain financial investment, my initial instinct is to…"
Risk/Uncertainty Attitudes,The idea of completely abandoning my current path to pursue a dream feels…
Risk/Uncertainty Attitudes,"When making decisions under pressure, I usually rely on…"
Risk/Uncertainty Attitudes,My tolerance for ambiguity in my daily life is…
Risk/Uncertainty Attitudes,"Before making a big purchase, I always…"
Risk/Uncertainty Attitudes,"If I knew I could succeed with no chance of failure, I would…"
Risk/Uncertainty Attitudes,"When a project has a high likelihood of success but minimal impact, I…"
Risk/Uncertainty Attitudes,I believe the key to handling unexpected setbacks is…
Risk/Uncertainty Attitudes,"When deciding between safety and excitement, I typically choose…"
Risk/Uncertainty Attitudes,"Before taking a leap of faith, I consider…"
Risk/Uncertainty Attitudes,My ideal work environment involves a balance of…
Authority/Power Dynamics,"When someone abuses their power, I…"
Authority/Power Dynamics,A leader's most important responsibility is to…
Authority/Power Dynamics,"If I disagree with a direct order, I tend to…"
Authority/Power Dynamics,People in positions of authority should always…
Authority/Power Dynamics,The best way to handle insubordination is to…
Authority/Power Dynamics,I feel most comfortable when authority figures…
Authority/Power Dynamics,Power should be distributed based on…
Authority/Power Dynamics,"If I were in charge, I would change…"
Authority/Power Dynamics,"Respect for authority is earned, not…"
Authority/Power Dynamics,Challenging the status quo is important when…
Authority/Power Dynamics,"When someone tries to control me, I…"
Authority/Power Dynamics,I believe hierarchies are necessary because…
Authority/Power Dynamics,Leaders who delegate effectively are…
Authority/Power Dynamics,Status symbols are important because they…
Authority/Power Dynamics,"If I perceive someone as incompetent in a position of power, I…"
Authority/Power Dynamics,Persuasion is more effective than force when…
Authority/Power Dynamics,My experience with power dynamics has taught me…
Authority/Power Dynamics,I am more likely to follow a leader who…
Authority/Power Dynamics,The biggest flaw in most power structures is…
Authority/Power Dynamics,"When I see someone being unfairly treated by an authority figure, I…"
Moral/Ethical Reasoning,"When faced with a difficult ethical choice, I usually..."
Moral/Ethical Reasoning,"If I witnessed someone being treated unfairly, I would..."
Moral/Ethical Reasoning,I believe the primary purpose of morality is to...
Moral/Ethical Reasoning,"For me, a truly just society would ensure..."
Moral/Ethical Reasoning,"When considering the common good versus individual rights, I tend to..."
Moral/Ethical Reasoning,I consider honesty to be essential except when...
Moral/Ethical Reasoning,The line between right and wrong becomes blurred when...
Moral/Ethical Reasoning,"If I could change one thing about the world's ethics, it would be..."
Moral/Ethical Reasoning,My conscience bothers me most when I...
Moral/Ethical Reasoning,I consider forgiveness to be appropriate when...
Moral/Ethical Reasoning,"When making a decision with ethical implications, I first..."
Moral/Ethical Reasoning,A situation where lying might be justifiable is when...
Moral/Ethical Reasoning,"Protecting the vulnerable is important, even if it means..."
Moral/Ethical Reasoning,My moral compass is primarily guided by...
Moral/Ethical Reasoning,An ethical standard that everyone should uphold is...
Moral/Ethical Reasoning,"When I encounter unethical behavior, my reaction is..."
Moral/Ethical Reasoning,I believe justice should prioritize...
Moral/Ethical Reasoning,"In a conflict between personal values and societal norms, I typically..."
Moral/Ethical Reasoning,"When faced with a moral dilemma, I often question..."
Moral/Ethical Reasoning,The concept of moral responsibility implies that...
Emotional/Interpersonal Stance,"When I feel overwhelmed by others' problems, I usually..."
Emotional/Interpersonal Stance,"In a disagreement with a loved one, my first instinct is to..."
Emotional/Interpersonal Stance,Expressing vulnerability to others feels...
Emotional/Interpersonal Stance,My approach to making new friends generally involves...
Emotional/Interpersonal Stance,"When someone I care about is upset, I tend to..."
Emotional/Interpersonal Stance,"If I feel someone is taking advantage of me, I..."
Emotional/Interpersonal Stance,I typically handle criticism by...
Emotional/Interpersonal Stance,"At social events, I find myself most comfortable..."
Emotional/Interpersonal Stance,Building trust with someone requires...
Emotional/Interpersonal Stance,"After an argument, I typically..."
Emotional/Interpersonal Stance,Sharing my emotions openly...
Emotional/Interpersonal Stance,I feel most connected to others when we are...
Emotional/Interpersonal Stance,"When someone is sharing a difficult experience with me, I..."
Emotional/Interpersonal Stance,"If a friend confides in me with a secret, I..."
Emotional/Interpersonal Stance,Setting boundaries in relationships feels...
Emotional/Interpersonal Stance,"When I'm feeling down, I usually..."
Emotional/Interpersonal Stance,"In group projects, I often..."
Emotional/Interpersonal Stance,Confronting someone about their behavior usually...
Emotional/Interpersonal Stance,I show affection by...
Emotional/Interpersonal Stance,Receiving help from others makes me feel...
Analytical/Reasoning Style,"When faced with a multifaceted problem, I usually begin by…"
Analytical/Reasoning Style,"Before accepting any information as fact, I must first…"
Analytical/Reasoning Style,My preferred method for evaluating arguments is…
Analytical/Reasoning Style,"If there's no immediately obvious solution, I tend to…"
Analytical/Reasoning Style,"When presented with conflicting research findings, I would…"
Analytical/Reasoning Style,I feel most confident making decisions when I have…
Analytical/Reasoning Style,My approach to understanding a new concept involves…
Analytical/Reasoning Style,"If a project is failing, I usually analyze…"
Analytical/Reasoning Style,The most important factor in evaluating statistical claims is…
Analytical/Reasoning Style,"When brainstorming, I prefer to focus on…"
Analytical/Reasoning Style,"When someone presents an opinion, I automatically…"
Analytical/Reasoning Style,My biggest weakness in problem-solving is probably…
Analytical/Reasoning Style,"When encountering ambiguous information, I generally…"
Analytical/Reasoning Style,I am most effective at finding solutions when I can…
Analytical/Reasoning Style,"Before implementing a strategy, I consider…"
Analytical/Reasoning Style,The best way to understand opposing viewpoints is to…
Analytical/Reasoning Style,"When forming an opinion, I consider…"
Analytical/Reasoning Style,I find it easiest to learn new information when it's presented…
Analytical/Reasoning Style,"In a complex debate, I tend to…"
Analytical/Reasoning Style,I am most frustrated when others…
Risk/Uncertainty Attitudes,"When presented with several paths, I tend to choose the one that feels..."
Risk/Uncertainty Attitudes,My feelings about betting it all on something I believe in are...
Risk/Uncertainty Attitudes,"If my assumptions about a situation prove wrong, I typically..."
Risk/Uncertainty Attitudes,"Before making a big decision, I spend time..."
Risk/Uncertainty Attitudes,"If I were offered a job with high risk but high reward, I would..."
Risk/Uncertainty Attitudes,The thought of completely unplanned travel makes me feel...
Risk/Uncertainty Attitudes,"When others are taking big risks, I am usually..."
Risk/Uncertainty Attitudes,"When unexpected changes happen, I find myself…"
Risk/Uncertainty Attitudes,One thing I’m willing to take a chance on is…
Risk/Uncertainty Attitudes,"The more uncertain the situation, the more I feel…"
Risk/Uncertainty Attitudes,I am most comfortable when my future is...
Risk/Uncertainty Attitudes,"When planning for an uncertain future, I often..."
Risk/Uncertainty Attitudes,"Compared to most people, my ability to embrace uncertainty is…"
Risk/Uncertainty Attitudes,The idea of pursuing a completely new career path feels…
Risk/Uncertainty Attitudes,"To avoid regret later, I believe it's important to..."
Risk/Uncertainty Attitudes,"When navigating complex situations, I rely on…"
Risk/Uncertainty Attitudes,I consider myself to be someone who values...
Risk/Uncertainty Attitudes,"When deciding between something safe and something exciting, I..."
Risk/Uncertainty Attitudes,"For me, the most effective way to handle ambiguity is..."
Risk/Uncertainty Attitudes,"If I could change one thing about my risk-taking tendencies, it would be…"
Authority/Power Dynamics,The most effective way to lead a team is by…
Authority/Power Dynamics,"When someone in a position of power makes a mistake, I tend to…"
Authority/Power Dynamics,I believe that rules are meant to be…
Authority/Power Dynamics,"If I disagree with a superior's decision, my first instinct is to…"
Authority/Power Dynamics,"To gain influence in a group, I often…"
Authority/Power Dynamics,I feel most comfortable when the power dynamic in a relationship is…
Authority/Power Dynamics,"When I see someone abusing their authority, I…"
Authority/Power Dynamics,I think the ideal level of control a manager should have over their employees is…
Authority/Power Dynamics,"If I were in charge, I would change…"
Authority/Power Dynamics,Respect for authority figures is important because…
Authority/Power Dynamics,I prefer to work with leaders who…
Authority/Power Dynamics,Giving up control feels…
Authority/Power Dynamics,"When others try to exert power over me, I usually…"
Authority/Power Dynamics,The best way to earn respect is by…
Authority/Power Dynamics,I think that true power comes from…
Authority/Power Dynamics,A good leader should always be willing to…
Authority/Power Dynamics,Dealing with bureaucratic processes usually makes me feel…
Authority/Power Dynamics,I believe the ideal power distribution in a company is…
Authority/Power Dynamics,I tend to navigate hierarchical structures by…
Authority/Power Dynamics,"When I have more power than others, I try to ensure that…"
